date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:39	136023/136023	---M-Z	200	added ('OK')	text/html	etag:%2221357-637954c2-db9638e6fc1fb707;gz%22	https://megabyte.andevfrontend.com/index.html	D:/FreeCouse/todo/megabyte.andevfrontend.com/index.html	(from )
20:50:39	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62bb4aa8-c8dbb59f4919440;gz%22	https://megabyte.andevfrontend.com/robots.txt		(from )
20:50:40	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-637954c2-e20d9f575f09a4b1;gz%22	https://megabyte.andevfrontend.com/img/favicon.ico	D:/FreeCouse/todo/megabyte.andevfrontend.com/img/favicon.ico	(from https://megabyte.andevfrontend.com/index.html)
20:50:40	57/57	---MCZ	302	error ('Found')	text/plain	date:Sat,%2015%20Apr%202023%2013:50:41%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	D:/FreeCouse/todo/unpkg.com/swiper/swiper-bundle.min.2.delayed	(from https://megabyte.andevfrontend.com/index.html)
20:50:40	17907/17907	---MCZ	200	added ('OK')	text/css	etag:%2245f3-z+ENYUDBlwOqj0l1YJxuze23QgM%22	https://unpkg.com/swiper@9.2.2/swiper-bundle.min.css	D:/FreeCouse/todo/unpkg.com/swiper@9.2.2/swiper-bundle.min.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:41	73271/73271	---M-Z	200	added ('OK')	text/css	etag:W/%2211e37-gaZqnrLenLCs4BvyXVKzdrhY6WA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	D:/FreeCouse/todo/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:41	130/130	---MCZ	302	error ('Found')	text/html	date:Sat,%2015%20Apr%202023%2013:50:42%20GMT	https://unpkg.com/metismenujs/dist/metismenujs.min.css	D:/FreeCouse/todo/unpkg.com/metismenujs/dist/metismenujs.min.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:42	1266/1266	---MCZ	200	added ('OK')	text/css	etag:%224f2-Uu2T0X62g+c6Rq5vYsFIbofSTew%22	https://unpkg.com/metismenujs@1.4.0/dist/metismenujs.min.css	D:/FreeCouse/todo/unpkg.com/metismenujs@1.4.0/dist/metismenujs.min.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:42	41500/41500	---M-Z	200	added ('OK')	text/css	etag:%22a21c-637954c3-43257a2c2e404915;gz%22	https://megabyte.andevfrontend.com/plugins/iziToast/iziToast.min.css	D:/FreeCouse/todo/megabyte.andevfrontend.com/plugins/iziToast/iziToast.min.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:42	90655/90655	---M-Z	200	added ('OK')	text/css	etag:%221621f-637954c2-6411e0b090bfb882;gz%22	https://megabyte.andevfrontend.com/css/main.css	D:/FreeCouse/todo/megabyte.andevfrontend.com/css/main.css	(from https://megabyte.andevfrontend.com/index.html)
20:50:43	3747/3747	---M--	200	added ('OK')	image/png	etag:%22ea3-637954c2-2a3a4cbdfddf50b7;;;%22	https://megabyte.andevfrontend.com/img/logo.png	D:/FreeCouse/todo/megabyte.andevfrontend.com/img/logo.png	(from https://megabyte.andevfrontend.com/index.html)
20:50:45	35816/35816	---M--	200	added ('OK')	image/jpeg	etag:%228be8-637954c4-4ec68a281dc05848;;;%22	https://megabyte.andevfrontend.com/img/categories/pc_components/motherboards.jpg	D:/FreeCouse/todo/megabyte.andevfrontend.com/img/categories/pc_components/motherboards.jpg	(from https://megabyte.andevfrontend.com/index.html)
